|location|name|party
155||Cyrille Dumaine|Liberal
156||Édouard Lacroix|Liberal
157||Maxime Raymond|Liberal
158||Joseph Oscar Lefebre Boulanger|Liberal
159||Joseph Arthur Barrette|Conservative
160||Charles Marcil|Liberal
161||Follin Horace Pickel|Conservative
162||Samuel William Jacobs|Liberal
163||Alfred Duranleau (until 7 August 1930 emoulment appointment)|Conservative
164||Jean Louis Baribeau|Conservative
165||Pierre-François Casgrain|Liberal
166||Julien-Édouard-Alfred Dubuc|Liberal
167||John Clarke Moore|Conservative
168||Samuel Gobeil|Conservative
169||Onésime Gagnon|Conservative
170||Wilfrid Girouard|Liberal
171||Maurice Brasset|Liberal
172||Édouard-Charles St-Père|Liberal
173||Alphonse Fournier|Liberal
174||Joseph-Georges-Philippe Laurin|Conservative
175||Charles-Édouard Ferland|Liberal
176||Joseph Georges Bouchard|Liberal
177||Joseph Henri Napoléon Bourassa|Independent
178||Joseph Léonard Duguay|Conservative
179||Vincent Dupuis|Liberal
180||Paul-Arthur Séguin|Liberal
181||Joseph-Alexandre Mercier|Liberal
182||Arthur Sauvé (until 7 August 1930 emoulment appointment)|Conservative
183||Émile Fortin|Conservative
184||Joseph-Fernand Fafard|Liberal
185||Joseph-Achille Verville|Liberal
186||Clément Robitaille (died 16 January 1932)|Liberal
187||Joseph-Ernest-Henri Larue|Conservative
188||Eusèbe Roberge|Liberal
189||Armand Renaud Lavergne|Conservative
190||Robert Smeaton White|Conservative
191||Lucien Dubois|Liberal
192||Charles Bélec|Conservative
193||Jules Desrochers|Liberal
194||Charles Napoléon Dorion|Conservative
195||Ernest Lapointe|Liberal
196||Charles Gavan Power|Liberal
197||Maurice Dupré (until 7 August 1930 emoulment appointment)|Conservative
198||Pierre-Joseph-Arthur Cardin|Liberal
199||François-Joseph Laflèche|Conservative
200||Eugène Fiset|Liberal
201||John Alexander Sullivan|Conservative
202||Leslie Gordon Bell|Conservative
203||Joseph-Arthur Denis|Liberal
204||Paul Mercier|Liberal
205||Joseph-Théophile-Adélard Fontaine|Liberal
206||Fernand Rinfret|Liberal
207||Pierre Auguste Martial Rhéaume|Liberal
208||Charles Cahan (until 7 August 1930 emoulment appointment)|Conservative
209||Hermas Deslauriers|Liberal
210||J.-Eugène Tétreault|Conservative
211||Charles Benjamin Howard|Liberal
212||John Thomas Hackett|Conservative
213||Louis-Étienne Parent|Liberal
214||Arthur Bettez (died 4 January 1931)|Liberal
215||Jean-François Pouliot|Liberal
216||Joseph Thauvette|Liberal
217||Fizalam-William Perras|Liberal
218||Aimé Boucher (until election voided 23 December 1932)|Liberal
219||Robert McKenzie|Liberal
220||Albert Frederick Totzke|Liberal
221||Archibald M. Carmichael|Progressive
222||Harry Butcher|Liberal
223||Walter Davy Cowan|Conservative
224||Milton Neil Campbell (until 6 February 1933 emoulment appointment)|Progressive
225||James Beck Swanston|Conservative
226||Robert Weir (until 8 August 1930 emoulment appointment)|Conservative
227||William Richard Motherwell|Liberal
228||William Addison Beynon|Conservative
229||Cameron Ross McIntosh|Liberal
230||William Lyon Mackenzie King|Liberal
231||Ernest Edward Perley|Liberal
232||Franklin White Turnbull|Conservative
233||William John Loucks|Liberal
234||Frank MacMillan|Conservative
235||John Vallance|Liberal
236||Charles Edward Bothwell|Liberal
237||Edward James Young|Liberal
238||Thomas F. Donnelly|Liberal
239||George Washington McPhee|Liberal
240||George Black|Conservative
