|location|name|party
91||Denton Massey|National Government
92||Arza Clair Casselman|National Government
93||Walter Harris|Liberal
94||William Pattison Telford, Jr. (resigned 9 December 1944 to allow Andrew McNaughton to campaign for seat, albeit unsuccessfully)|Liberal
95||Mark Cecil Senn|Conservative
96||Hughes Cleaver|Liberal
97||Thomas Hambly Ross|Liberal
98||Colin Gibson|Liberal
99||George Stanley White|National Government
100||George Henry Stokes|National Government
101||Alexander James Anderson|National Government
102||Lewis Elston Cardiff|National Government
103||William Henry Golding|Liberal
104||Hugh Bathgate McKinnon|Liberal
105||Clayton Earl Desmond|National Government
106||Norman McLeod Rogers (died 10 June 1940)|Liberal
107||Hugh Alexander Mackenzie|Liberal-Progressive
108||Ross Wilfred Gray|Liberal
109||Bert H. Soper|Liberal
110||George Taylor Fulford|Liberal
111||Norman James Macdonald Lockhart|Conservative
112||Allan Johnston|Liberal
113||Duncan Graham Ross|Liberal
114||Robert McCubbin|Liberal
115||Stephen Joseph Furniss|Liberal
116||Raoul Hurtubise|Liberal
117||William Horace Taylor|Liberal
118||William Alexander Fraser|Liberal
119||William Henry Moore|Liberal
120||Joseph Albert Pinard|Liberal
121||George McIlraith|Liberal
122||Almon Secord Rennie|Liberal
123||Herbert Alexander Bruce|National Government
124||Arthur Graeme Slaght|Liberal
125||Gordon Graydon|National Government
126||Frederick George Sanderson|Liberal
127||Gordon Knapman Fraser|National Government
128||Clarence Decatur Howe|Liberal
129||Elie-Oscar Bertrand|Liberal
130||George James Tustin|National Government
131||Ralph Melville Warren|Liberal
132||James Joseph McCann|Liberal
133||Harry Jackman|National Government
134||Alfred Goulet|Liberal
135||George Alexander McLean|Liberal
136||Duncan Fletcher McCuaig|Liberal
137||Samuel Factor|Liberal
138||Lionel Chevrier|Liberal
139||Douglas Ross|National Government
140||Walter Little|Liberal
141||Arthur Roebuck|Liberal
142||Thomas Bruce McNevin|Liberal
143||William Daum Euler (until Senate appointment)|Liberal
144||Karl Kenneth Homuth|National Government
145||Arthur Byron Damude (died 15 September 1941)|Liberal
146||John Knox Blair|Liberal
147||Robert William Gladstone|Liberal
148||Ellis Hopkins Corman|Liberal
149||Robert Henry McGregor|National Government
150||William Pate Mulock|Liberal
151||Alan Cockeram (resigned to allow Arthur Meighen to campaign for seat, albeit unsuccessfully)|National Government
152||Agar Rodney Adamson|Conservative
153||Thomas Vincent Grant|Liberal
154||James Layton Ralston|Liberal
155||James Lester Douglas|Liberal
156||James Wright McGibbon|Liberal
157||Édouard Lacroix|Liberal
158||Maxime Raymond|Liberal
159||Louis-Philippe Picard|Liberal
160||J. Émile Ferron|Liberal
161||Joseph Alphée Poirier|Liberal
162||Maurice Hallé|Liberal
163||Peter Bercovitch (died 26 December 1942)|Liberal
164||Vincent Dupuis|Liberal
165||Hervé-Edgar Brunelle|Liberal
166||Hector Authier|Liberal
167||Pierre-François Casgrain (until 15 December 1941 emoulment appointment)|Liberal
168||Donald Elmer Black|Liberal
169||Julien-Édouard-Alfred Dubuc|Liberal
170||Joseph-Adéodat Blanchette|Liberal
171||Léonard-David Sweezey Tremblay|Liberal
172||Armand Cloutier|Liberal
173||Joseph Sasseville Roy|Independent Conservative
174||Raymond Eudes|Liberal
175||Alphonse Fournier|Liberal
176||Elphège Marier|Liberal
177||Charles-Édouard Ferland|Liberal
178||Louis Philippe Lizotte|Liberal
179||Maurice Lalonde (politician)|Liberal
180||Armand Sylvestre|Liberal
181||Ernest Bertrand|Liberal
182||Liguori Lacombe|Independent Liberal
183||Maurice Bourget|Liberal
184||Hugues Lapointe|Liberal
185||Sarto Fournier|Liberal
186||Arthur-Joseph Lapointe|Liberal
187||Joseph Lafontaine|Liberal
188||Joseph Jean|Liberal
189||Leo Kemner Laflamme|Liberal
190||Frederick Primrose Whitman|Liberal
191||Lucien Dubois|Liberal
192||Thomas Vien (resigned 5 October 1942)|Liberal
193||Wallace Reginald McDonald|Liberal
194||Pierre Gauthier|Liberal
195||Wilfrid Lacroix|Liberal
196||Ernest Lapointe (died 26 November 1941)|Liberal
197||Charles Gavan Power|Liberal
198||Charles Eugène Parent|Liberal
199||Pierre-Joseph-Arthur Cardin|Liberal
200||James Patrick Mullins|Liberal
201||Joseph-Émile-Stanislas-Émmanuel D'Anjou|Liberal
202||Thomas Patrick Healy|Liberal
203||Douglas Abbott|Liberal
204||Azellus Denis|Liberal
205||Joseph-Arsène Bonnier|Liberal
206||Joseph-Théophile-Adélard Fontaine|Liberal
207||Eugène Durocher|Liberal
208||Pierre Auguste Martial Rhéaume|Liberal
209||Brooke Claxton|Liberal
210||Hermas Deslauriers (died 28 May 1941)|Liberal
211||Joseph-Alphida Crête|Liberal
212||Joseph-Hermas Leclerc|Liberal
213||Maurice Gingues|Liberal
214||Robert Greig Davidson (until election voided 24 May 1943)|Liberal
215||Lionel Bertrand|Independent Liberal
216||Robert Ryan|Liberal
217||Jean-François Pouliot|Liberal
218||Joseph Thauvette|Liberal
219||Paul-Émile Côté|Liberal
220||Rodolphe Leduc|Liberal
221||Jesse Pickard Tripp|Liberal
222||Harry Raymond Fleming (died 5 November 1942)|Liberal
223||Charles Albert Henderson|Liberal
224||John Diefenbaker|National Government
225||Alexander Malcolm Nicholson|C.C.F.
226||Charles Robert Evans|Liberal
227||Percy Ellis Wright|C.C.F.
228||James Garfield Gardiner|Liberal
229||John Gordon Ross|Liberal
230||Dorise Nielsen|Unity
231||William Lyon Mackenzie King|Liberal
232||Ernest Edward Perley|National Government
233||Donald Alexander McNiven|Liberal
234||Major James Coldwell|C.C.F.
235||Walter Adam Tucker|Liberal
236||Walter George Brown (died 1 April 1940)|United Reform
237||Roy Theodore Graham|Liberal
238||John Albert Gregory|Liberal
239||Tommy Douglas|C.C.F.
240||Thomas F. Donnelly|Liberal
241||George Hugh Castleden|C.C.F.
242||George Black|National Government
