|location|name|party
143||Paul Tardif|Liberal
144||Ian Wahn|Liberal
145||Philip Bernard Rynard|Progressive Conservative
146||Heber Edgar Smith|Progressive Conservative
147||Sylvester Perry Ryan|Liberal
148||Lucien Lamoureux|Liberal
149||Rodger Mitchell|Liberal
150||Arnold Peters|New Democratic Party
151||Murdo Martin|New Democratic Party
152||Paul Hellyer|Liberal
153||Clayton Wesley Hodgson|Progressive Conservative
154||Oscar William Weichel|Progressive Conservative
155||Gordon Chaplin|Progressive Conservative
156||William Hector McMillan|Liberal
157||Marvin Howe|Progressive Conservative
158||Alfred Dryden Hales|Progressive Conservative
159||Joseph Reed Sams|Progressive Conservative
160||James Edgar Walker|Liberal
161||Steven Otto|Liberal
162||Ralph Cowan|Liberal
163||John Hollings Addison|Liberal
164||Frank Charles Mcgee|Progressive Conservative
165||David Lewis|New Democratic Party
166||Leonard Patrick (Red) Kelly|Liberal
167||Margaret Mary Macdonald|Progressive Conservative
168||Orville Howard Phillips|Progressive Conservative
169||John Angus Maclean|Progressive Conservative
170||Vincent Drouin|Liberal
171||Gérard Perron|Social Credit
172||Gérald Laniel|Liberal
173||Bernard Dumont|Social Credit
174||Rémi Paul|Progressive Conservative
175||Albert Béchard|Liberal
176||Heward Grafftey|Progressive Conservative
177||Leon David Crestohl|Liberal
178||J.-E. Bernard Pilon|Liberal
179||Jean-Paul Matte|Liberal
180||Gérard Laprise|Social Credit
181||Louis-Philippe-Antoine Bélanger|Social Credit
182||Jean Boucher|Liberal
183||Maurice Côté|Social Credit
184||Henry P. Latulippe|Social Credit
185||Guy Rouleau|Liberal
186||Pierre-André Boutin|Social Credit
187||David Ouellet|Social Credit
188||Roland Léo English|Progressive Conservative
189||Rodolphe Leduc|Liberal
190||Raymond Eudes|Liberal
191||Alexis Pierre Caron|Liberal
192||Maurice Sauvé|Liberal
193||Raymond Rock|Liberal
194||Louis-Joseph Pigeon|Progressive Conservative
195||Charles-Eugène Dionne|Social Credit
196||Gaston Clermont|Liberal
197||Marcel Lessard|Social Credit
198||Georges-C. Lachance|Liberal
199||Gilles Grégoire|Social Credit
200||Lionel Chevrier|Liberal
201||Jean-Léo Rochon|Liberal
202||J.-Aurélien Roy|Social Credit
203||Pierre Sévigny|Progressive Conservative
204||Raymond Joseph Michael O'hurley|Progressive Conservative
205||Jean-Paul Deschatelets|Liberal
206||Alfred Belzile|Progressive Conservative
207||Raymond Langlois|Social Credit
208||Prosper Boulanger|Liberal
209||Jean-Paul Cook|Social Credit
210||Alan Aylesworth Macnaughton|Liberal
211||Clément Vincent|Progressive Conservative
212||Edmund Tobin Asselin|Liberal
213||Romuald Bourque|Liberal
214||Adrien Meunier|Liberal
215||Paul Raymond Martineau|Progressive Conservative
216||Jean-Louis Frenette|Social Credit
217||Guy Marcoux|Social Credit
218||Jean Robert Beaulé|Social Credit
219||Jean-Charles Cantin|Liberal
220||Lucien Plourde|Social Credit
221||Lucien Cardin|Liberal
222||André Bernier|Social Credit
223||Gérard Légaré|Liberal
224||Philippe Gagnon|Social Credit
225||Charles-Arthur Gauthier|Social Credit
226||Lauréat Maltais|Social Credit
227||Gérard Loiselle|Liberal
228||Charles (Bud) Drury|Liberal
229||Azellus Denis|Liberal
230||H.-Pit Lessard|Liberal
231||Théogène Ricard|Progressive Conservative
232||Maurice Rinfret|Liberal
233||Yvon Dupuis|Liberal
234||John Turner|Liberal
235||Georges Valade|Progressive Conservative
236||Gérard Lamy|Social Credit
237||Gilbert F. Rondeau|Social Credit
238||Gérard Chapdelaine|Social Credit
239||René Joseph Eugène Létourneau|Progressive Conservative
240||Léo Cadieux|Liberal
241||Léon Balcer|Progressive Conservative
242||Marcel Bourbonnais|Progressive Conservative
243||Bryce Mackasey|Liberal
244||Réal Caouette|Social Credit
245||Hazen Argue|Liberal
246||Reynold Rapp|Progressive Conservative
247||Robert Hanbidge|Progressive Conservative
248||Stanley Korchinski|Progressive Conservative
249||Bert Cadieu|Progressive Conservative
250||James Norris Ormiston|Progressive Conservative
251||James Ernest Pascoe|Progressive Conservative
252||Richard Russell Southam|Progressive Conservative
253||John Diefenbaker|Progressive Conservative
254||Alvin Hamilton|Progressive Conservative
255||Ken More|Progressive Conservative
256||Clarence Owen Cooper|Progressive Conservative
257||Edward Nasserden|Progressive Conservative
258||Henry Frank Jones|Progressive Conservative
259||Jack McIntosh|Progressive Conservative
260||Albert Ralph Horner|Progressive Conservative
261||Gordon Drummond Clancy|Progressive Conservative
262||Erik Nielsen|Progressive Conservative
