|position|name|date
80|Minister of National Defence| Arthur C. Eggleton|11 June 1997 – 26 May 2002
81|Minister of National Defence| John McCallum|26 May 2002 – 12 December 2003
82|Minister of National Health and Welfare| Diane Marleau|4 November 1993 – 24 January 1996
83|Minister of National Health and Welfare| David Charles Dingwall|25 January 1996 – 11 July 1996
84|Minister of National Revenue| David Anderson|4 November 1993 – 24 January 1996
85|Minister of National Revenue| Jane Stewart|25 January 1996 – 10 June 1997
86|Minister of National Revenue| Herb Dhaliwal|11 June 1997 – 2 August 1999
87|Minister of National Revenue| Martin Cauchon|3 August 1999 – 14 January 2002
88|Minister of National Revenue| Elinor Caplan|15 January 2002 – 12 December 2003
89|Minister of Natural Resources| Anne McLellan|12 January 1995 – 10 June 1997
90|Minister of Natural Resources| Ralph Goodale|11 June 1997 – 14 January 2002
91|Minister of Natural Resources| Herb Dhaliwal|15 January 2002 – 12 December 2003
92|Minister of Public Works| David Charles Dingwall|4 November 1993 – 24 January 1996
93|Minister of Public Works| Diane Marleau|25 January 1996 – 11 July 1996
94|Minister of Public Works and Government Services| Diane Marleau|12 July 1996 – 10 June 1997
95|Minister of Public Works and Government Services| Alfonso Gagliano|11 June 1997 – 14 January 2002
96|Minister of Public Works and Government Services| Don Boudria|15 January 2002 – 25 May 2002
97|Minister of Public Works and Government Services| Ralph Goodale|26 May 2002 – 12 December 2003
98|Minister of Supply and Services| David Charles Dingwall|4 November 1993 – 24 January 1996
99|Minister of Supply and Services| Diane Marleau|25 January 1996 – 11 July 1996
100|Minister of Transport| Douglas Young|4 November 1993 – 24 January 1996
101|Minister of Transport| David Anderson|25 January 1996 – 10 June 1997
102|Minister of Transport| David Michael Collenette|11 June 1997 – 12 December 2003
103|Minister of Veterans Affairs| David Michael Collenette|4 November 1993 – 4 October 1996
104|Minister of Veterans Affairs| Douglas Young|4 October 1996 – 10 June 1997
105|Minister of Veterans Affairs| Fred J. Mifflin|11 June 1997 – 2 August 1999
106|Minister of Veterans Affairs| George Baker|3 August 1999 – 16 October 2000
107|Minister of Veterans Affairs| Ronald J. Duhamel|17 October 2000 – 14 January 2002
108|Minister of Veterans Affairs| Rey Pagtakhan|15 January 2002 – 12 December 2003
109|Minister of Western Economic Diversification| Lloyd Axworthy|4 November 1993 – 24 January 1996
110|Minister of Western Economic Diversification| John Manley|25 January 1996 – 16 October 2000
111|Minister of Western Economic Diversification| Brian Tobin|17 October 2000 – 14 January 2002
112|Minister of Western Economic Diversification| Allan Rock|15 January 2002 – 12 December 2003
113|Leader of the Government in the House of Commons| Herb Gray|4 November 1993 – 10 June 1997
114|Leader of the Government in the House of Commons| Don Boudria|11 June 1997 – 14 January 2002
115|Leader of the Government in the House of Commons| Ralph Goodale|15 January 2002 – 25 May 2002
116|Leader of the Government in the House of Commons| Don Boudria|26 May 2002 – 12 December 2003
117|Leader of the Government in the Senate| Joyce Fairbairn|4 November 1993 – 10 June 1997
118|Leader of the Government in the Senate| Bernard Alasdair Graham|11 June 1997 – 3 October 1999
119|Leader of the Government in the Senate| J. Bernard Boudreau|4 October 1999 – 8 January 2001
120|Leader of the Government in the Senate| Sharon Carstairs|9 January 2001 – 12 December 2003
121|President of the Privy Council| Marcel Massé|4 November 1993 – 24 January 1996
122|President of the Privy Council| Stéphane Dion|25 January 1996 – 12 December 2003
123|President of the Treasury Board| Arthur C. Eggleton|4 November 1993 – 24 January 1996
124|President of the Treasury Board| Marcel Massé|25 January 1996 – 2 August 1999
125|President of the Treasury Board| Lucienne Robillard|3 August 1999 – 12 December 2003
126|Secretary of State of Canada| Sergio Marchi|4 November 1993 – 24 January 1996
127|Secretary of State of Canada| Lucienne Robillard|25 January 1996 – 12 July 1996
128|Secretary of State for External Affairs| André Ouellet|4 November 1993 – 12 May 1995
129|Solicitor General of Canada| Herb Gray|4 November 1993 – 10 June 1997
130|Solicitor General of Canada| Andy Scott|11 June 1997 – 23 November 1998
131|Solicitor General of Canada| Lawrence MacAulay|23 November 1998 – 22 October 2002
132|Solicitor General of Canada| Arnold Wayne Easter|22 October 2002 – 12 December 2003
133|Minister of State (Atlantic Canada Opportunities Agency)| J. Bernard Boudreau|17 October 2000 – 8 January 2001
134|Minister of State (Atlantic Canada Opportunities Agency)| Robert G. Thibault|9 January 2001 – 15 January 2002
135|Minister of State (Atlantic Canada Opportunities Agency)| Gerry Byrne|16 January 2002 – 12 December 2003
136|Minister of State (Deputy Prime Minister)| Herb Gray|11 June 1997 – 14 January 2002
137|Minister of State (Deputy Prime Minister)| John Manley|15 January 2002 – 1 June 2002
138|Minister of State (Leader of the Government at the House of Commons)| Don Boudria|11 June 1997 – 14 January 2002
139|Minister of State (Leader of the Government at the House of Commons)| Ralph Goodale|15 January 2002 – 25 May 2002
140|Minister of State (Leader of the Government at the House of Commons)| Don Boudria|26 May 2002 – 12 December 2003
141|Minister responsible for La Francophonie| Pierre Pettigrew|25 January 1996 – 3 October 1996
142|Minister responsible for La Francophonie| Don Boudria|4 October 1996 – 10 June 1997
143|Minister responsible for Infrastructure| Arthur C. Eggleton|4 November 1993 – 24 January 1996
144|Minister responsible for Infrastructure| Marcel Massé|25 January 1996 – 2 August 1999
145|Minister responsible for Public Service Renewal| Marcel Massé|4 November 1993 – 24 January 1996
146|Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec| Brian Tobin|17 October 2000 – 14 January 2002
147|Minister responsible for the Federal Office of Regional Development - Quebec| Paul Martin|4 November 1993 – 24 January 1996
148|Minister responsible for the Federal Office of Regional Development - Quebec| John Manley|25 January 1996 – 10 June 1997
149|Minister with political responsibility for Quebec| Martin Cauchon|15 January 2002 – 12 December 2003
150|Minister with special responsibility for Literacy| Joyce Fairbairn|4 November 1993 – 10 June 1997
