|location|name|party
84||Charles Delmer Coyle|Progressive Conservative
85||Paul Martin Sr.|Liberal
86||Murray Clark|Liberal
87||Donald Ferguson Brown|Liberal
88||Dan McIvor|Liberal
89||Wilbert Ross Aylesworth|Progressive Conservative
90||William MacDiarmid (resigned June 22, 1945)|Liberal
91||Denton Massey|Progressive Conservative
92||Arza Clair Casselman|Progressive Conservative
93||Walter Harris|Liberal
94||W. Garfield Case|Progressive Conservative
95||Mark Senn|Progressive Conservative
96||Hughes Cleaver|Liberal
97||Thomas Hambly Ross|Liberal
98||Colin Gibson|Liberal
99||George Stanley White|Progressive Conservative
100||George Henry Stokes|Progressive Conservative
101||William Alexander McMaster|Progressive Conservative
102||Elston Cardiff|Progressive Conservative
103||William Henry Golding|Liberal
104||William Moore Benidickson|Liberal
105||Earl Desmond|Progressive Conservative
106||Thomas Kidd|Progressive Conservative
107||Robert James Henderson|Progressive Conservative
108||Joseph Warner Murphy|Progressive Conservative
109||William Gourlay Blair|Progressive Conservative
110||George Webb|Progressive Conservative
111||Norman Lockhart|Progressive Conservative
112||Park Manross|Progressive Conservative
113||Harry Oliver White|Progressive Conservative
114||Robert McCubbin|Liberal
115||James Macdonnell|Progressive Conservative
116||Léo Gauthier|Liberal
117||Theobald Butler Barrett|Progressive Conservative
118||Earle Drope|Progressive Conservative
119||W. E. N. Sinclair (died in office)|Liberal
120||Jean-Thomas Richard|Liberal
121||George McIlraith|Liberal
122||Kenneth Daniel|Progressive Conservative
123||Herbert Alexander Bruce (until resignation)|Progressive Conservative
124||Wilfred McDonald|Liberal
125||Gordon Graydon|Progressive Conservative
126||Albert James Bradshaw|Progressive Conservative
127||Gordon Fraser|Progressive Conservative
128||Clarence Decatur Howe|Liberal
129||Élie-Oscar Bertrand|Liberal
130||George Tustin|Progressive Conservative
131||Ralph Warren|Liberal
132||James Joseph McCann|Liberal
133||Harry Jackman|Progressive Conservative
134||Joseph-Omer Gour|Liberal
135||Douglas Ross|Progressive Conservative
136||William Alfred Robinson|Liberal
137||Julian Ferguson|Progressive Conservative
138||David Croll|Liberal
139||Lionel Chevrier|Liberal
140||Walter Little|Liberal
141||Larry Skey|Progressive Conservative
142||Clayton Hodgson|Progressive Conservative
143||Louis Orville Breithaupt|Liberal
144||Karl Kenneth Homuth|Progressive Conservative
145||Humphrey Mitchell|Liberal
146||Lewis Menary|Progressive Conservative
147||Robert Gladstone|Liberal
148||Frank Lennard|Progressive Conservative
149||Robert Henry McGregor|Progressive Conservative
150||Jack Smith|Liberal
151||Alan Cockeram|Progressive Conservative
152||Agar Rodney Adamson|Progressive Conservative
153||Thomas Vincent Grant|Liberal
154||John Watson MacNaught|Liberal
155||James Lester Douglas|Liberal
156||Georges Héon|Independent Progressive Conservative
157||Ludger Dionne|Liberal
158||Maxime Raymond|Bloc populaire canadien
159||Louis-Philippe Picard|Liberal
160||Aldéric Laurendeau|Liberal
161||Bona Arsenault|Independent
162||Maurice Hallé|Liberal
163||Fred Rose (seat declared vacant January 30, 1947, by House of Commons)|Labor-Progressive
164||Roch Pinard|Liberal
165||Hervé-Edgar Brunelle|Liberal
166||David Gourd|Liberal
167||Frédéric Dorion|Independent
168||Donald Elmer Black|Liberal
169||Paul-Edmond Gagnon|Independent
170||Joseph-Adéodat Blanchette|Liberal
171||Léonard Tremblay|Liberal
172||Armand Cloutier|Liberal
173||Léopold Langlois|Liberal
174||Raymond Eudes|Liberal
175||Alphonse Fournier|Liberal
176||Elphège Marier|Liberal
177||Georges-Émile Lapalme|Liberal
178||Eugène Marquis|Liberal
179||Maurice Lalonde (politician)|Liberal
180||Joseph-Alfred Dion|Independent Liberal
181||Ernest Bertrand|Liberal
182||Liguori Lacombe (resigned July 12, 1948)|Independent
183||Maurice Bourget|Independent Liberal
184||Hugues Lapointe|Liberal
185||Sarto Fournier|Liberal
186||Philéas Côté|Independent Liberal
187||Joseph Lafontaine|Liberal
188||Joseph Jean|Liberal
189||Jean Lesage|Liberal
190||Fred Whitman|Liberal
191||Lucien Dubois (died November 8, 1948)|Independent Liberal
192||Édouard Rinfret|Liberal
193||Wallace McDonald (died May 2, 1946)|Liberal
194||Pierre Gauthier|Liberal
195||Wilfrid Lacroix|Independent Liberal
196||Louis St. Laurent|Liberal
197||Charles Gavan Power|Liberal
198||Charles Parent|Independent Liberal
199||Arthur Cardin (died October 21, 1946)|Independent
200||James Patrick Mullins|Liberal
201||Gleason Belzile|Liberal
202||Thomas Healy|Liberal
203||Douglas Abbott|Liberal
204||Azellus Denis|Liberal
205||Joseph-Arsène Bonnier|Liberal
206||Joseph Fontaine|Liberal
207||Roland Beaudry|Liberal
208||Alcide Côté|Liberal
209||Brooke Claxton|Liberal
210||Gaspard Fauteux|Liberal
211||René Hamel|Bloc populaire canadien
212||Marcel Boivin|Liberal
213||Maurice Gingues|Liberal
214||John Thomas Hackett|Progressive Conservative
215||Jean-François Pouliot|Independent Liberal
216||Lionel Bertrand|Liberal
217||Wilfrid Gariépy|Independent
218||Louis-René Beaudoin|Liberal
219||Paul-Émile Côté|Liberal
220||Léon Raymond|Liberal
221||Edward McCullough|C.C.F.
222||Joseph William Burton|C.C.F.
223||Frank Jaenicke|C.C.F.
224||John Diefenbaker|Progressive Conservative
225||Alexander Malcolm Nicholson|C.C.F.
226||Duncan John McCuaig|C.C.F.
227||Percy Wright|C.C.F.
228||James Garfield Gardiner|Liberal
229||Ross Thatcher|C.C.F.
230||Frederick Townley-Smith|C.C.F.
231||Edward LeRoy Bowerman|C.C.F.
232||Gladys Strum|C.C.F.
233||John Probe|C.C.F.
234||Major James Coldwell|C.C.F.
235||Walter Tucker (resigned June 8, 1948)|Liberal
236||Roy Knight|C.C.F.
237||Thomas John Bentley|C.C.F.
238||Max Campbell|C.C.F.
239||Eric McKay|C.C.F.
240||Hazen Argue|C.C.F.
241||George Hugh Castleden|C.C.F.
242||George Black|Progressive Conservative
