|position|name|date
153|Minister of State (Mines)|Robert Layton|17 September 1984-30 June 1986
154|Minister of State (Multiculturalism)|Jack Murta|17 September 1984-20 August 1985
155|Minister of State (Multiculturalism)|Otto Jelinek|20 August 1985-30 June 1986
156|Minister of State (Multiculturalism)|David Crombie|30 June 1986-31 March 1988
157|Minister of State (Multiculturalism)|Gerry Weiner|31 March 1988-15 September 1988
158|Minister of State (Multiculturalism and Citizenship)|Gerry Weiner|15 September 1988-21 April 1991
159|Minister of Multiculturalism and Citizenship|Gerry Weiner|21 April 1991-25 June 1993
160|Minister responsible for National Capital Commission|Roch La Salle|17 September 1984-30 June 1986
161|Minister responsible for National Capital Commission|Stewart McInnes|30 June 1986-8 December 1988
162|Minister responsible for National Capital Commission|Otto Jelinek (acting)|8 December 1988-30 January 1989
163|Minister responsible for National Capital Commission|Elmer MacKay|30 January 1989-25 June 1993
164|Associate Minister of National Defence|Vacant|17 September 1984-20 August 1985
165|Associate Minister of National Defence|Harvie Andre|20 August 1985-30 June 1986
166|Associate Minister of National Defence|Paul Dick|30 June 1986-30 January 1989
167|Associate Minister of National Defence|Mary Collins|30 January 1989-4 January 1993
168|Associate Minister of National Defence|Vacant|4 January 1993-25 June 1993
169|Minister of National Defence|Robert Coates|17 September 1984-12 February 1985
170|Minister of National Defence|Erik Nielsen (acting)|12 February 1985-27 February 1985
171|Minister of National Defence|Erik Nielsen|27 February 1985-30 June 1986
172|Minister of National Defence|Perrin Beatty|30 June 1986-30 January 1989
173|Minister of National Defence|Bill McKnight|30 January 1989-21 April 1991
174|Minister of National Defence|Marcel Masse|21 April 1991-4 January 1993
175|Minister of National Defence|Kim Campbell|4 January 1993-25 June 1993
176|Minister of National Health and Welfare|Jake Epp|17 September 1984-30 January 1989
177|Minister of National Health and Welfare|Perrin Beatty|30 January 1989-21 April 1991
178|Minister of National Health and Welfare|Benoît Bouchard|21 April 1991-25 June 1993
179|Minister of National Revenue|Perrin Beatty|17 September 1984-20 August 1985
180|Minister of National Revenue|Elmer MacKay|20 August 1985-30 January 1989
181|Minister of National Revenue|Otto Jelinek|30 January 1989-25 June 1993
182|President of the Privy Council|Erik Nielsen|17 September 1984-27 February 1985
183|President of the Privy Council|Ray Hnatyshyn|27 February 1985-30 June 1986
184|President of the Privy Council|Don Mazankowski|30 June 1986-21 April 1991
185|President of the Privy Council|Joe Clark|21 April 1991-25 June 1993
186|Minister responsible for Privatization and Regulatory Affairs|Don Mazankowski|27 August 1987-21 April 1991
187|Minister of State (Privatization and Regulatory Affairs)|Barbara McDougall|30 June 1986-31 March 1988
188|Minister of State (Privatization and Regulatory Affairs)|Don Mazankowski|31 March 1988-30 January 1989
189|Minister of State (Privatization and Regulatory Affairs)|John McDermid|30 January 1989-26 February 1991
190|Minister of Public Works|Roch La Salle|17 September 1984-30 June 1986
191|Minister of Public Works|Stewart McInnes|30 June 1986-8 December 1988
192|Minister of Public Works|Otto Jelinek (acting)|8 December 1988-30 January 1989
193|Minister of Public Works|Elmer MacKay|30 January 1989-25 June 1993
194|Minister of Regional Economic Expansion|Sinclair Stevens|17 September 1984-13 May 1986
195|Minister of Regional Economic Expansion|Don Mazankowski (acting)|13 May 1986-30 June 1986
196|Minister of Regional Economic Expansion|Michel Côté|30 June 1986-27 August 1987
197|Minister of Regional Economic Expansion|Robert de Cotret|27 August 1987-30 January 1989
198|Minister of Regional Economic Expansion|Harvie Andre|30 January 1989-23 February 1990
199|Minister responsible for Royal Canadian Mint|Harvie Andre|17 September 1984-20 August 1985
200|Minister responsible for Royal Canadian Mint|Stewart McInnes|20 August 1985-30 June 1986
201|Minister responsible for Royal Canadian Mint|Monique Vézina|30 June 1986-27 August 1987
202|Minister responsible for Royal Canadian Mint|Michel Côté|27 August 1987-3 February 1988
203|Minister responsible for Royal Canadian Mint|Stewart McInnes (acting)|3 February 1988-31 March 1988
204|Minister responsible for Royal Canadian Mint|Lucien Bouchard|31 March 1988-30 January 1989
205|Minister responsible for Royal Canadian Mint|Paul Dick|30 January 1989-25 June 1993
206|Minister for Science|William Winegard|23 February 1990-4 January 1993
207|Minister for Science|Tom Hockin|4 January 1993-25 June 1993
208|Minister of State (Science and Technology)|Tom Siddon|17 September 1984-20 November 1985
209|Minister of State (Science and Technology)|Frank Oberle|20 November 1985-11 August 1987
210|Minister of State (Science and Technology)|Michel Côté|11 August 1987-27 August 1987
211|Minister of State (Science and Technology)|Frank Oberle|11 August 1987-30 January 1989
212|Minister of State (Science and Technology)|Robert de Cotret|27 August 1987-30 January 1989
213|Minister of State (Science and Technology)|Harvie Andre|30 January 1989-23 February 1990
214|Minister of State (Science and Technology)|William Winegard|30 January 1989-23 February 1990
215|Secretary of State for Canada|Walter McLean|17 September 1984-20 August 1985
216|Secretary of State for Canada|Benoît Bouchard|20 August 1985-30 June 1986
217|Secretary of State for Canada|David Crombie|30 June 1986-31 March 1988
218|Secretary of State for Canada|Lucien Bouchard|31 March 1988-30 January 1989
219|Secretary of State for Canada|Gerry Weiner|30 January 1989-21 April 1991
220|Secretary of State for Canada|Robert de Cotret|21 April 1991-4 January 1993
221|Secretary of State for Canada|Monique Landry|4 January 1993-25 June 1993
222|Minister of State (Seniors)|George Hees|27 August 1987-15 September 1988
223|Minister of State (Seniors)|Monique Vézina|15 September 1988-25 June 1993
224|Minister of State (Small Businesses)|André Bissonnette|17 September 1984-30 June 1986
225|Minister of State (Small Businesses and Tourism)|Bernard Valcourt|30 June 1986-30 January 1989
226|Minister of State (Small Businesses and Tourism)|Tom Hockin|30 January 1989-25 June 1993
227|Minister of State (Tourism)|Thomas McMillan|17 September 1984-20 August 1985
228|Minister of State (Tourism)|Jack Murta|20 August 1985-30 June 1986
229|Solicitor General|Elmer MacKay|17 September 1984-20 August 1985
230|Solicitor General|Perrin Beatty|20 August 1985-30 June 1986
231|Solicitor General|James Kelleher|30 June 1986-8 December 1988
232|Solicitor General|Perrin Beatty (acting)|8 December 1988-30 January 1989
233|Solicitor General|Pierre Blais|30 January 1989-23 February 1990
234|Solicitor General|Pierre Cadieux|23 February 1990-21 April 1991
235|Solicitor General|Doug Lewis|21 April 1991-25 June 1993
236|Minister responsible for Standards Council of Canada|Michel Côté|17 September 1984-30 June 1986
237|Minister responsible for Standards Council of Canada|Harvie Andre|30 June 1986-30 January 1989
238|Minister responsible for Standards Council of Canada|Bernard Valcourt|30 January 1989-2 August 1989
239|Minister responsible for Standards Council of Canada|Harvie Andre (acting)|2 August 1989-23 February 1990
240|Minister responsible for Standards Council of Canada|Pierre Blais|23 February 1990-4 January 1993
241|Minister responsible for Standards Council of Canada|Pierre H. Vincent|4 January 1993-25 June 1993
242|Minister responsible for the Status of Women|Walter McLean|17 September 1984-30 June 1986
243|Minister responsible for the Status of Women|Barbara McDougall|30 June 1986-23 February 1990
244|Minister responsible for the Status of Women|Mary Collins|23 February 1990-25 June 1993
245|Minister of Supply and Services and Receiver General|Harvie Andre|17 September 1984-20 August 1985
246|Minister of Supply and Services and Receiver General|Stewart McInnes|20 August 1985-30 June 1986
247|Minister of Supply and Services and Receiver General|Monique Vézina|30 June 1986-27 August 1987
248|Minister of Supply and Services and Receiver General|Michel Côté|27 August 1987-3 February 1988
249|Minister of Supply and Services and Receiver General|Stewart McInnes (acting)|3 February 1988-31 March 1988
250|Minister of Supply and Services and Receiver General|Lucien Bouchard|31 March 1988-30 January 1989
251|Minister of Supply and Services and Receiver General|Paul Dick|30 January 1989-25 June 1993
252|Minister of Transport|Don Mazankowski|17 September 1984-30 June 1986
253|Minister of Transport|John Crosbie|30 June 1986-31 March 1988
254|Minister of Transport|Benoît Bouchard|31 March 1988-23 February 1990
255|Minister of Transport|Doug Lewis|23 February 1990-21 April 1991
256|Minister of Transport|Jean Corbeil|21 April 1991-25 June 1993
257|Minister of State (Transport)|Benoît Bouchard|17 September 1984-20 August 1985
258|Minister of State (Transport)|Suzanne Blais-Grenier|20 August 1985-31 December 1985
259|Minister of State (Transport)|André Bissonnette|30 June 1986-19 January 1987
260|Minister of State (Transport)|Monique Vézina|27 August 1987-31 March 1988
261|Minister of State (Transport)|Gerry St. Germain|31 March 1988-15 September 1988
262|Minister of State (Transport)|Shirley Martin|15 September 1988-23 February 1990
263|Minister of State (Transport)|Jean Corbeil|23 February 1990-21 April 1991
264|Minister of State (Transport)|Shirley Martin|21 April 1991-25 June 1993
265|President of the Treasury Board|Robert de Cotret|17 September 1984-27 August 1987
266|President of the Treasury Board|Don Mazankowski|27 August 1987-31 March 1988
267|President of the Treasury Board|Pat Carney|31 March 1988-28 September 1988
268|President of the Treasury Board|Michael Wilson (acting)|28 September 1988-8 December 1988
269|President of the Treasury Board|Doug Lewis (acting)|8 December 1988-30 January 1989
270|President of the Treasury Board|Robert de Cotret|30 January 1989-20 September 1990
271|President of the Treasury Board|Gilles Loiselle|20 September 1990-25 June 1993
272|Minister of State (Treasury Board)|Doug Lewis|27 August 1987-30 January 1989
273|Minister of Veterans Affairs|George Hees|17 September 1984-15 September 1988
274|Minister of Veterans Affairs|Gerald Merrithew|15 September 1988-4 January 1993
275|Minister of Veterans Affairs|Kim Campbell|4 January 1993-25 June 1993
276|Minister of the Western Diversification Office|Bill McKnight|4 August 1987-28 June 1988
277|Minister of Western Economic Diversification|Bill McKnight|28 June 1988-30 January 1989
278|Minister of Western Economic Diversification|Charles Mayer|30 January 1989-4 January 1993
279|Minister of Western Economic Diversification|Mary Collins|4 January 1993-25 June 1993
280|Minister of State (Youth)|Andrée Champagne|17 September 1984-30 June 1986
281|Minister of State (Youth)|Jean Charest|30 June 1986-24 January 1990
282|Minister of State (Youth)|Barbara McDougall (acting)|24 January 1990-23 February 1990
283|Minister of State (Youth)(Fitness and Amateur Sport)|Marcel Danis|23 February 1990-21 April 1991
284|Minister of State (Youth)(Fitness and Amateur Sport)|Pierre Cadieux|21 April 1991-25 June 1993
