|position|name|date
66|Minister of Public Works|David James Walker|20 August 1959-18 July 1962
67|Minister of Public Works|Howard Charles Green (acting)|18 July 1962-9 August 1962
68|Minister of Public Works|Davie Fulton|9 August 1962-22 April 1963
69|Secretary of State for Canada and Registrar General|Ellen Fairclough|21 June 1957-12 May 1958
70|Secretary of State for Canada and Registrar General|Henri Courtemanche|12 May 1958-19 January 1960
71|Secretary of State for Canada and Registrar General|Léon Balcer (acting)|19 January 1960-11 October 1960
72|Secretary of State for Canada and Registrar General|Noël Dorion|11 October 1960-5 July 1962
73|Secretary of State for Canada and Registrar General|Léon Balcer (acting)|5 July 1962-9 August 1962
74|Secretary of State for Canada and Registrar General|Ernest Halpenny|9 August 1962-22 April 1963
75|Solicitor General|Léon Balcer|21 June 1957-11 October 1960
76|Solicitor General|William Joseph Browne|11 October 1960-9 August 1962
77|Solicitor General|Vacant|9 August 1962-22 April 1963
78|Minister of Trade and Commerce|Gordon Churchill|21 June 1957-11 October 1960
79|Minister of Trade and Commerce|George Hees|11 October 1960-8 February 1963
80|Minister of Trade and Commerce|Vacant (James Alan Roberts was acting)|8 February 1963-12 February 1963
81|Minister of Trade and Commerce|Malcolm Wallace McCutcheon|12 February 1963-22 April 1963
82|Minister of Transport|George Hees|21 June 1957-11 October 1960
83|Minister of Transport|Léon Balcer|11 October 1960-22 April 1963
84|Minister of Veterans Affairs|Alfred Johnson Brooks|21 June 1957-11 October 1960
85|Minister of Veterans Affairs|Gordon Churchill|11 October 1960-12 February 1963
86|Minister of Veterans Affairs|Marcel Lambert|12 February 1963-22 April 1963
87|Minister without Portfolio|William Joseph Browne|21 June 1957-11 October 1960
88|Minister without Portfolio|James Macdonnell|21 June 1957-20 August 1959
89|Minister without Portfolio|John Thomas Haig|9 October 1957-11 May 1958
90|Minister without Portfolio|Ernest Halpenny|11 October 1960-9 August 1962
91|Minister without Portfolio|Malcolm Wallace McCutcheon|9 August 1962-12 February 1963
92|Minister without Portfolio|Frank Charles McGee|18 March 1963-22 April 1963
93|Minister without Portfolio|Théogène Ricard|18 March 1963-22 April 1963
94|Leader of the Government in the Senate|Walter Aseltine|12 May 1958-31 August 1962
95|Leader of the Government in the Senate|Alfred Johnson Brooks|31 August 1962-22 April 1963
