|position|name|date
48|Minister of Munitions and Supply|C. D. Howe|9 April 1940-1 January 1946
49|Associate Minister of National Defence|Charles Gavan Power|12 July 1940-27 November 1944
50|Associate Minister of National Defence|Vacant|27 November 1944-15 November 1948
51|Minister of National Defence|Ian Alistair Mackenzie|23 October 1935-19 September 1939
52|Minister of National Defence|Norman McLeod Rogers|19 September 1939-11 June 1940
53|Minister of National Defence|Charles Gavan Power (acting)|11 June 1940-5 July 1940
54|Minister of National Defence|James Ralston|5 July 1940-2 November 1944
55|Minister of National Defence|Andrew McNaughton|2 November 1944-21 August 1945
56|Minister of National Defence|Douglas Abbott|21 August 1945-12 December 1946
57|Minister of National Defence|Brooke Claxton|12 December 1946-15 November 1948
58|Minister of National Defence for Air|Vacant (Charles Gavan Power was acting)|22 May 1940-23 May 1940
59|Minister of National Defence for Air|Charles Gavan Power|23 May 1940-30 November 1944
60|Minister of National Defence for Air|Angus Lewis Macdonald (acting)|30 November 1944-11 January 1945
61|Minister of National Defence for Air|Colin W. G. Gibson (acting)|11 January 1945-8 March 1945
62|Minister of National Defence for Air|Colin W. G. Gibson|8 March 1945-12 December 1946
63|Minister of National Defence for Naval Services|Angus Lewis Macdonald|12 July 1940-18 April 1945
64|Minister of National Defence for Naval Services|Douglas Abbott|18 April 1945-12 December 1946
65|Minister of National Health and Welfare|Brooke Claxton|18 October 1944-12 December 1946
66|Minister of National Health and Welfare|Paul Martin Sr.|12 December 1946-15 November 1948
67|Minister of National Revenue|James Lorimer Ilsley|23 October 1935-8 July 1940
68|Minister of National Revenue|Colin W. G. Gibson|8 July 1940-8 March 1945
69|Minister of National Revenue|James Angus MacKinnon (acting)|8 March 1945-19 April 1945
70|Minister of National Revenue|David Laurence MacLaren|19 April 1945-30 July 1945
71|Minister of National Revenue|James Angus MacKinnon (acting)|30 July 1945-29 August 1945
72|Minister of National Revenue|James Joseph McCann|29 August 1945-15 November 1948
73|Minister of National War Services|James Garfield Gardiner|12 July 1940-11 June 1941
74|Minister of National War Services|Joseph Thorarinn Thorson|11 June 1941-7 October 1942
75|Minister of National War Services|Léo Richer Laflèche|7 October 1942-18 April 1945
76|Minister of National War Services|James Joseph McCann|18 April 1945-19 January 1948
77|Minister of National War Services|Vacant|19 January 1948-15 November 1948
78|Minister of Pensions and National Health|Charles Gavan Power|23 October 1935-19 September 1939
79|Minister of Pensions and National Health|Ian Alistair Mackenzie|19 September 1939-18 October 1944
80|Postmaster General|John Campbell Elliott|23 October 1935-23 January 1939
81|Postmaster General|Norman Alexander McLarty|23 January 1939-19 September 1939
82|Postmaster General|Charles Gavan Power|19 September 1939-23 May 1940
83|Postmaster General|James Lorimer Ilsley (acting)|23 May 1940-8 July 1940
84|Postmaster General|William Pate Mulock|8 July 1940-9 June 1945
85|Postmaster General|Vacant (Walter James Turnbull was acting)|9 June 1945-29 August 1945
86|Postmaster General|Ernest Bertrand|29 August 1945-15 November 1948
87|President of the Queen's Privy Council|William Lyon Mackenzie King|23 October 1935-15 November 1948
88|Minister of Public Works|Pierre Joseph Arthur Cardin|23 October 1935-13 May 1942
89|Minister of Public Works|Joseph-Enoil Michaud (acting)|13 May 1942-7 October 1942
90|Minister of Public Works|Alphonse Fournier|7 October 1942-15 November 1948
91|Minister of Railways and Canals|C. D. Howe|23 October 1935-2 November 1936
92|Minister of Reconstruction|Vacant (C. D. Howe was acting)|30 June 1944-13 October 1944
93|Minister of Reconstruction|C. D. Howe|13 October 1944-1 January 1946
94|Minister of Reconstruction and Supply|C. D. Howe|1 January 1946-15 November 1948
95|Secretary of State for Canada and Registrar General|Fernand Rinfret|23 October 1935-12 July 1939
96|Secretary of State for Canada and Registrar General|Vacant (Ephraim Herbert Coleman was acting)|12 July 1939-26 July 1939
97|Secretary of State for Canada and Registrar General|Ernest Lapointe (acting)|26 July 1939-9 May 1940
98|Secretary of State for Canada and Registrar General|Pierre-François Casgrain|9 May 1940-15 December 1941
99|Secretary of State for Canada and Registrar General|Norman Alexander McLarty|15 December 1941-18 April 1945
100|Secretary of State for Canada and Registrar General|Paul Martin Sr.|18 April 1945-12 December 1946
101|Secretary of State for Canada and Registrar General|Colin W. G. Gibson|12 December 1946-15 November 1948
102|Solicitor General|Vacant|23 October 1935-18 April 1945
103|Solicitor General|Joseph Jean|18 April 1945-15 November 1948
104|Minister of Trade and Commerce|William Daum Euler|23 October 1935-9 May 1940
105|Minister of Trade and Commerce|James Angus MacKinnon|9 May 1940-19 January 1948
106|Minister of Trade and Commerce|C. D. Howe|19 January 1948-15 November 1948
107|Minister of Transport|C. D. Howe|2 November 1936-8 July 1940
108|Minister of Transport|Pierre Joseph Arthur Cardin|8 July 1940-13 May 1942
109|Minister of Transport|C. D. Howe (acting)|13 May 1942-6 October 1942
110|Minister of Transport|Joseph-Enoil Michaud|6 October 1942-18 April 1945
111|Minister of Transport|Lionel Chevrier|18 April 1945-15 November 1948
112|Minister of Veterans Affairs|Ian Alistair Mackenzie|18 October 1944-19 January 1948
113|Minister of Veterans Affairs|Milton Fowler Gregg|19 January 1948-15 November 1948
114|Minister without Portfolio|Raoul Dandurand|23 October 1935-11 March 1942
115|Minister without Portfolio|James Angus MacKinnon|23 January 1939-9 May 1940
116|Minister without Portfolio|James Horace King|26 May 1942-25 August 1945
117|Minister without Portfolio|Wishart McLea Robertson|4 September 1945-15 November 1948
