index_rows|position|name|date|start|end|minister_number|sex
59|Minister of State (Employment and Immigration)|Pauline Browes|4 January 1993-25 June 1993|1993-01-04|1993-06-25|24|female
58|Minister of State (Employment and Immigration)|Monique Vézina|31 March 1988-4 January 1993|1988-03-31|1993-01-04|24|female
56|Minister of Employment and Immigration|Barbara McDougall|31 March 1988-21 April 1991|1988-03-31|1991-04-21|24|female
60|Minister for International Cooperation|Josée Verner|6 Feb. 2006 – 14 Aug. 2007|2006-02-06|2007-08-14|28|female
69|Secretary of State for Canada and Registrar General|Ellen Fairclough|21 June 1957-12 May 1958|1957-06-21|1958-05-12|18|female
73|Minister of Labour|Rona Ambrose|30 Oct. 2008 – 19 Jan. 2010|2008-10-30|2010-01-19|28|female
74|Minister of Labour|Lisa Raitt|19 Jan. 2010 – 15 Jul. 2013|2010-01-19|2013-07-15|28|female
60|Postmaster General|Ellen Fairclough|9 August 1962-22 April 1963|1962-08-09|1963-04-22|18|female
81|Leader of the Government in the Senate[4]|Marjory LeBreton|6 Feb. 2006 – 15 Jul. 2013|2006-02-06|2013-07-15|28|female
98|Minister of Natural Resources|Lisa Raitt|30 Oct. 2008 – 19 Jan. 2010|2008-10-30|2010-01-19|28|female
104|President of the Queen's Privy Council for Canada|Rona Ambrose|4 Jan. 2007 – 30 Oct. 2008|2007-01-04|2008-10-30|28|female
105|President of the Queen's Privy Council for Canada|Josée Verner|30 Oct. 2008 – 18 May 2011|2008-10-30|2011-05-18|28|female
89|Secretary of State for Canada|Judy LaMarsh|18 December 1965-10 April 1968|1965-12-18|1968-04-10|19|female
1|Minister of Canadian Heritage|Hélène Scherrer|12 December 2003 – 19 July 2004: |2003-12-12|2004-07-19|27|female
114|Minister of Public Works and Government Services|Rona Ambrose|19 Jan. 2010 – 15 Jul. 2013|2010-01-19|2013-07-15|28|female
115|Minister of Public Works and Government Services|Diane Finley|15 Jul. 2013 – 4 Nov. 2015|2013-07-15|2015-11-04|28|female
120|Minister of Transport|Lisa Raitt|15 Jul. 2013 – 4 Nov. 2015|2013-07-15|2015-11-04|28|female
27|Minister responsible for Indian Affairs|Ellen Fairclough|12 May 1958-9 August 1962|1958-05-12|1962-08-09|18|female
29|Minister of Communications|Jeanne Sauvé|5 December 1975-4 June 1979|1975-12-05|1979-06-04|20|female
131|Minister of Western Economic Diversification|Rona Ambrose|4 Jan. 2007 – 30 Oct. 2008|2007-01-04|2008-10-30|28|female
56|Minister of the Environment|Jeanne Sauvé|8 August 1974-5 December 1975|1974-08-08|1975-12-05|20|female
133|Minister of Western Economic Diversification|Rona Ambrose|5 Nov. 2010 – 15 Jul. 2013|2010-11-05|2013-07-15|28|female
134|Minister of Western Economic Diversification|Michelle Rempel|15 Jul. 2013 – 4 Nov. 2015|2013-07-15|2015-11-04|28|female
73|Minister of Fisheries|Jeanne Sauvé|8 August 1974-5 December 1975|1974-08-08|1975-12-05|20|female
69|Minister of State (Public Health)|Carolyn Bennett|12 December 2003 – 6 February 2006: |2003-12-12|2006-02-06|27|female
57|Minister of Intergovernmental Affairs|Josée Verner|30 Oct. 2008 – 18 May 2011|2008-10-30|2011-05-18|28|female
84|Registrar General of Canada|Judy LaMarsh|18 December 1965-1 October 1966|1965-12-18|1966-10-01|19|female
24|Minister of Indian Affairs and Northern Development|Pauline Browes|25 June 1993-4 November 1993|1993-06-25|1993-11-04|25|female
54|Minister of Employment and Immigration|Flora MacDonald|17 September 1984-30 June 1986|1984-09-17|1986-06-30|24|female
43|Secretary of State for Canada|Monique Landry|25 June 1993-4 November 1993|1993-06-25|1993-11-04|25|female
36|Minister of Communications|Flora MacDonald|30 June 1986-7 December 1988|1986-06-30|1988-12-07|24|female
184|Minister of State for Science and Technology|Jeanne Sauvé|27 November 1972-8 August 1974|1972-11-27|1974-08-08|20|female
8|Minister of Canadian Heritage|Josée Verner|14 Aug. 2007 – 30 Oct. 2008|2007-08-14|2008-10-30|28|female
10|Minister of Canadian Heritage|Shelly Glover|15 Jul. 2013 – 4 Nov. 2015|2013-07-15|2015-11-04|28|female
19|Minister responsible for Canadian International Development Agency|Monique Vézina|4 January 1993-25 June 1993|1993-01-04|1993-06-25|24|female
12|Minister of Citizenship and Immigration|Diane Finley|4 Jan. 2007 – 30 Oct. 2008|2007-01-04|2008-10-30|28|female
56|Minister of Intergovernmental Affairs|Rona Ambrose|4 Jan. 2007 - 30 Oct. 2008|2007-01-04|2008-10-30|28|female
18|Minister responsible for Canadian International Development Agency|Monique Landry|30 June 1986-4 January 1993|1986-06-30|1993-01-04|24|female
18|Minister of the Environment|Rona Ambrose|6 Feb. 2006 – 4 Jan. 2007|2006-02-06|2007-01-04|28|female
23|Minister of the Environment|Leona Aglukkaq|15 Jul. 2013 – 4 Nov. 2015|2013-07-15|2015-11-04|28|female
63|Minister of National Health and Welfare|Judy LaMarsh|22 April 1963-18 December 1965|1963-04-22|1965-12-18|19|female
153|Minister of National Revenue|Monique Bégin|14 September 1976-16 September 1977|1976-09-14|1977-09-16|20|female
146|Minister of National Health and Welfare|Monique Bégin|16 September 1977-4 June 1979|1977-09-16|1979-06-04|20|female
37|Minister of Health|Leona Aglukkaq|30 Oct. 2008 – 15 Jul. 2013|2008-10-30|2013-07-15|28|female
38|Minister of Health|Rona Ambrose|15 Jul. 2013 – 4 Nov. 2015|2013-07-15|2015-11-04|28|female
39|Minister of Employment and Social Development|Diane Finley|6 Feb. 2006 – 4 Jan. 2007|2006-02-06|2007-01-04|28|female
41|Minister of Employment and Social Development|Diane Finley|30 Oct. 2008 – 15 Jul. 2013|2008-10-30|2013-07-15|28|female
17|Minister responsible for Canadian International Development Agency|Monique Vézina|17 September 1984-30 June 1986|1984-09-17|1986-06-30|24|female
68|Minister of State (Northern Development)|Ethel Blondin-Andrew|20 July 2004 – 6 February 2006: |2004-07-20|2006-02-06|27|female
34|Minister of National Health and Welfare|Monique Bégin|30 June 1984-17 September 1984|1984-06-30|1984-09-17|23|female
243|Minister responsible for the Status of Women|Barbara McDougall|30 June 1986-23 February 1990|1986-06-30|1990-02-23|24|female
42|Minister of Veterans Affairs|Albina Guarnieri|20 July 2004 – 6 February 2006: |2004-07-20|2006-02-06|27|female
13|Secretary of State for External Affairs|Flora MacDonald|4 June 1979-3 March 1980|1979-06-04|1980-03-03|21|female
5|Minister of Consumer and Corporate Affairs|Judy Erola|12 August 1983-30 June 1984|1983-08-12|1984-06-30|22|female
48|Minister responsible for Democratic Reform|Belinda Stronach|18 May 2005 – 6 February 2006: |2005-05-18|2006-02-06|27|female
78|Minister of Status of Women|Maryam Monsef|February 1, 2017 – Present|2017-02-01|2019-11-20|29|female
27|Minister of Labour|Claudette Bradshaw|12 December 2003 – 19 July 2004: |2003-12-12|2004-07-19|27|female
52|Minister responsible for Homelessness|Claudette Bradshaw|12 December 2003 – 19 July 2004: |2003-12-12|2004-07-19|27|female
258|Minister of State (Transport)|Suzanne Blais-Grenier|20 August 1985-31 December 1985|1985-08-20|1985-12-31|24|female
94|Receiver General for Canada|Carla Qualtrough|August 28, 2017 – Present|2017-08-28|2019-11-20|29|female
79|Minister of Tourism, Official Languages and La Francophonie|Mélanie Joly|July 18, 2018 – Present|2018-07-18|2019-11-20|29|female
24|Minister of International Cooperation|Aileen Carroll|12 December 2003 – 6 February 2006: |2003-12-12|2006-02-06|27|female
15|Minister of Human Resources and Skills Development|Lucienne Robillard|14 January 2005 – 17 May 2005: |2005-01-14|2005-05-17|27|female
260|Minister of State (Transport)|Monique Vézina|27 August 1987-31 March 1988|1987-08-27|1988-03-31|24|female
221|Secretary of State for Canada|Monique Landry|4 January 1993-25 June 1993|1993-01-04|1993-06-25|24|female
262|Minister of State (Transport)|Shirley Martin|15 September 1988-23 February 1990|1988-09-15|1990-02-23|24|female
56|Minister responsible for Status of Women|Liza Frulla|20 July 2004 – 6 February 2006: |2004-07-20|2006-02-06|27|female
16|Minister of Human Resources and Skills Development|Belinda Stronach|18 May 2005 – 6 February 2006: |2005-05-18|2006-02-06|27|female
36|Minister of National Health and Welfare|Monique Bégin|3 March 1980-30 June 1984|1980-03-03|1984-06-30|22|female
92|Receiver General for Canada|Judy Foote|November 4, 2015 – August 24, 2017|2015-11-04|2017-08-24|29|female
91|President of the Treasury Board|Joyce Murray|March 18, 2019 – Present|2019-03-18|2019-11-20|29|female
90|President of the Treasury Board|Carla Qualtrough (acting)|March 4, 2019 – March 18, 2019|2019-03-04|2019-03-18|29|female
223|Minister of State (Seniors)|Monique Vézina|15 September 1988-25 June 1993|1988-09-15|1993-06-25|24|female
58|Minister of State (Civil Preparedness)|Albina Guarnieri|12 December 2003 – 19 July 2004: |2003-12-12|2004-07-19|27|female
19|Minister of Industry|Lucienne Robillard|12 December 2003 – 19 July 2004: |2003-12-12|2004-07-19|27|female
57|Minister of State (Children and Youth)|Ethel Blondin-Andrew|12 December 2003 – 19 July 2004: |2003-12-12|2004-07-19|27|female
22|Minister of Intergovernmental Affairs|Lucienne Robillard|20 July 2004 – 6 February 2006: |2004-07-20|2006-02-06|27|female
264|Minister of State (Transport)|Shirley Martin|21 April 1991-25 June 1993|1991-04-21|1993-06-25|24|female
77|Minister of Status of Women|Patty Hajdu|November 4, 2015 – February 1, 2017|2015-11-04|2017-02-01|29|female
280|Minister of State (Youth)|Andrée Champagne|17 September 1984-30 June 1986|1984-09-17|1986-06-30|24|female
49|Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec|Lucienne Robillard|12 December 2003 – 19 July 2004: |2003-12-12|2004-07-19|27|female
89|President of the Treasury Board|Jane Philpott|January 14, 2019 – March 4, 2019|2019-01-14|2019-03-04|29|female
70|Minister of Science|Kirsty Duncan|November 4, 2015 – July 18, 2018|2015-11-04|2018-07-18|29|female
68|Minister of Rural Economic Development|Bernadette Jordan|January 14, 2019 – Present|2019-01-14|2019-11-20|29|female
71|Minister of Seniors|Filomena Tassi|July 18, 2018 – Present|2018-07-18|2019-11-20|29|female
67|Minister of Public Services and Procurement and Accessibility[b]|Carla Qualtrough|August 28, 2017 – Present|2017-08-28|2019-11-20|29|female
3|Minister responsible for Canadian International Development Agency|Flora MacDonald|4 June 1979-3 March 1980|1979-06-04|1980-03-03|21|female
74|Minister of Sport and Persons with Disabilities|Carla Qualtrough|November 4, 2015 – August 28, 2017|2015-11-04|2017-08-28|29|female
3|Minister of Citizenship and Immigration|Judy Sgro|12 December 2003 – 13 January 2005: |2003-12-12|2005-01-13|27|female
34|Minister of Public Safety and Emergency Preparedness|Anne McLellan|12 December 2003 – 6 February 2006: |2003-12-12|2006-02-06|27|female
37|Minister of Social Development|Liza Frulla|12 December 2003 – 19 July 2004: |2003-12-12|2004-07-19|27|female
76|Minister of Sport and Persons with Disabilities|Kirsty Duncan|January 25, 2018 – Present|2018-01-25|2019-11-20|29|female
63|Minister of State (Human Resources Development)|Claudette Bradshaw|20 July 2004 – 6 February 2006: |2004-07-20|2006-02-06|27|female
65|Minister of Public Services and Procurement and Accessibility[b]|Judy Foote|November 4, 2015 – August 24, 2017|2015-11-04|2017-08-24|29|female
69|Minister of Science and Sport|Kirsty Duncan|July 18, 2018 – Present|2018-07-18|2019-11-20|29|female
58|Minister responsible for National Capital Commission|Mélanie Joly|November 4, 2015 – July 18, 2018|2015-11-04|2018-07-18|29|female
282|Minister of State (Youth)|Barbara McDougall (acting)|24 January 1990-23 February 1990|1990-01-24|1990-02-23|24|female
61|Minister of National Revenue|Diane Lebouthillier|November 4, 2015 – Present|2015-11-04|2019-11-20|29|female
247|Minister of Supply and Services and Receiver General|Monique Vézina|30 June 1986-27 August 1987|1986-06-30|1987-08-27|24|female
71|Postmaster General|John Robert Nicholson|3 February 1964-15 February 1965|1964-02-03|1965-02-15|19|male
32|Minister responsible for Indian Affairs|Guy Favreau|22 April 1963-3 February 1964|1963-04-22|1964-02-03|19|male
83|Registrar General of Canada|Maurice Lamontagne|3 February 1964-18 December 1965|1964-02-03|1965-12-18|19|male
38|Minister of Justice and Attorney General|Lionel Chevrier|22 April 1963-3 February 1964|1963-04-22|1964-02-03|19|male
72|Postmaster General|René Tremblay|15 February 1965-18 December 1965|1965-02-15|1965-12-18|19|male
33|Minister responsible for Indian Affairs|René Tremblay|3 February 1964-15 February 1965|1964-02-03|1965-02-15|19|male
82|Registrar General of Canada|Jack Pickersgill|22 April 1963-3 February 1964|1963-04-22|1964-02-03|19|male
61|Minister of Veterans Affairs|Gilles Lamontagne (acting)|1 October 1980-21 September 1981|1980-10-01|1981-09-21|22|male
34|Minister responsible for Indian Affairs|John Robert Nicholson|15 February 1965-18 December 1965|1965-02-15|1965-12-18|19|male
37|Minister of Industry|Charles Drury|25 July 1963-20 April 1968|1963-07-25|1968-04-20|19|male
35|Minister of Public Works and Government Services|Stephen Owen|12 December 2003 – 19 July 2004: |2003-12-12|2004-07-19|27|male
73|Postmaster General|Jean-Pierre Côté|18 December 1965-20 April 1968|1965-12-18|1968-04-20|19|male
80|Minister of Public Works|Lucien Cardin|11 February 1965-7 July 1965|1965-02-11|1965-07-07|19|male
35|Minister responsible for Indian Affairs|Jean Marchand|18 December 1965-1 October 1966|1965-12-18|1966-10-01|19|male
74|President of the Privy Council|Maurice Lamontagne|22 April 1963-3 February 1964|1963-04-22|1964-02-03|19|male
69|Minister of Northern Affairs and National Resources|Arthur Laing|22 April 1963-1 October 1966|1963-04-22|1966-10-01|19|male
75|President of the Privy Council|George McIlraith|3 February 1964-7 July 1965|1964-02-03|1965-07-07|19|male
76|President of the Privy Council|Guy Favreau|7 July 1965-4 April 1967|1965-07-07|1967-04-04|19|male
77|President of the Privy Council|Walter Gordon|4 April 1967-11 March 1968|1967-04-04|1968-03-11|19|male
78|President of the Privy Council|Pierre Trudeau (acting)|11 March 1968-20 April 1968|1968-03-11|1968-04-20|19|male
79|Minister of Public Works|Jean-Paul Deschatelets|22 April 1963-11 February 1965|1963-04-22|1965-02-11|19|male
81|Minister of Public Works|George McIlraith|7 July 1965-20 April 1968|1965-07-07|1968-04-20|19|male
36|Minister of Indian Affairs and Northern Development|Arthur Laing|1 October 1966-20 April 1968|1966-10-01|1968-04-20|19|male
44|Minister of Labour|John Robert Nicholson|18 December 1965-20 April 1968|1965-12-18|1968-04-20|19|male
67|Minister of National Revenue|Edgar Benson|29 June 1964-18 January 1968|1964-06-29|1968-01-18|19|male
45|Leader of the Government in the House of Commons|Jack Pickersgill|22 April 1963-3 February 1964|1963-04-22|1964-02-03|19|male
42|Minister of Justice and Attorney General|Pierre Trudeau|4 April 1967-20 April 1968|1967-04-04|1968-04-20|19|male
46|Leader of the Government in the House of Commons|Guy Favreau|3 February 1964-30 October 1964|1964-02-03|1964-10-30|19|male
47|Leader of the Government in the House of Commons|George McIlraith|30 October 1964-4 May 1967|1964-10-30|1967-05-04|19|male
48|Leader of the Government in the House of Commons|Allan MacEachen|4 May 1967-20 April 1968|1967-05-04|1968-04-20|19|male
41|Minister of Justice and Attorney General|Lucien Cardin|7 July 1965-4 April 1967|1965-07-07|1967-04-04|19|male
49|Leader of the Government in the Senate|William Ross Macdonald|22 April 1963-3 February 1964|1963-04-22|1964-02-03|19|male
33|Minister of Natural Resources|John Efford|12 December 2003 – 6 February 2006: |2003-12-12|2006-02-06|27|male
50|Leader of the Government in the Senate|John Joseph Connolly|3 February 1964-20 April 1968|1964-02-03|1968-04-20|19|male
32|Minister of National Revenue|John McCallum|20 July 2004 – 6 February 2006: |2004-07-20|2006-02-06|27|male
31|Minister of National Revenue|Stan Keyes|12 December 2003 – 19 July 2004: |2003-12-12|2004-07-19|27|male
30|Minister of National Defence|Bill Graham|20 July 2004 – 6 February 2006: |2004-07-20|2006-02-06|27|male
29|Minister of National Defence|David Pratt|12 December 2003 – 19 July 2004: |2003-12-12|2004-07-19|27|male
28|Minister of Labour and Housing|Joe Fontana|20 July 2004 – 6 February 2006: |2004-07-20|2006-02-06|27|male
51|Minister of Manpower and Immigration|Jean Marchand|1 October 1966-20 April 1968|1966-10-01|1968-04-20|19|male
52|Minister of Mines and Technical Surveys|William Moore Benidickson|22 April 1963-7 July 1965|1963-04-22|1965-07-07|19|male
53|Minister of Mines and Technical Surveys|John Watson MacNaught|7 July 1965-18 December 1965|1965-07-07|1965-12-18|19|male
43|Minister of Labour|Allan MacEachen|22 April 1963-18 December 1965|1963-04-22|1965-12-18|19|male
65|Minister of National Revenue|Jack Garland|22 April 1963-14 March 1964|1963-04-22|1964-03-14|19|male
64|Minister of National Health and Welfare|Allan MacEachen|18 December 1965-20 April 1968|1965-12-18|1968-04-20|19|male
25|Minister of International Trade|Jim Peterson|12 December 2003 – 6 February 2006: |2003-12-12|2006-02-06|27|male
61|Minister of National Defence|Paul Hellyer|22 April 1963-19 September 1967|1963-04-22|1967-09-19|19|male
58|Associate Minister of National Defence|Lucien Cardin|22 April 1963-15 February 1965|1963-04-22|1965-02-15|19|male
68|Minister of National Revenue|Jean Chrétien|18 January 1968-20 April 1968|1968-01-18|1968-04-20|19|male
26|Minister of Justice|Irwin Cotler|12 December 2003 – 6 February 2006: |2003-12-12|2006-02-06|27|male
56|Minister for National Capital Commission|Lucien Cardin|15 February 1965-7 July 1965|1965-02-15|1965-07-07|19|male
55|Minister for National Capital Commission|Jean-Paul Deschatelets|22 April 1963-15 February 1965|1963-04-22|1965-02-15|19|male
54|Minister of Mines and Technical Surveys|Jean-Luc Pépin|18 December 1965-1 October 1966|1965-12-18|1966-10-01|19|male
85|Registrar General of Canada|Guy Favreau|1 October 1966-4 April 1967|1966-10-01|1967-04-04|19|male
39|Minister of Justice and Attorney General|Guy Favreau|3 February 1964-30 June 1965|1964-02-03|1965-06-30|19|male
40|Minister of Justice and Attorney General|George McIlraith (acting)|30 June 1965-7 July 1965|1965-06-30|1965-07-07|19|male
57|Minister for National Capital Commission|George McIlraith|7 July 1965-20 April 1968|1965-07-07|1968-04-20|19|male
66|Minister of National Revenue|George McIlraith (acting)|14 March 1964-29 June 1964|1964-03-14|1964-06-29|19|male
93|Minister of Trade and Commerce|Mitchell Sharp|22 April 1963-4 January 1966|1963-04-22|1966-01-04|19|male
87|Secretary of State for Canada|Jack Pickersgill|22 April 1963-3 February 1964|1963-04-22|1964-02-03|19|male
22|Minister of Communications|Eric Kierans|1 April 1969-29 April 1971|1969-04-01|1971-04-29|20|male
21|Minister for the Canadian Wheat Board|Otto Lang|15 October 1969-4 June 1979|1969-10-15|1979-06-04|20|male
8|Minister of Finance|Ralph Goodale|12 December 2003 – 6 February 2006: |2003-12-12|2006-02-06|27|male
9|Minister of Fisheries and Oceans|Geoff Regan|12 December 2003 – 6 February 2006: |2003-12-12|2006-02-06|27|male
20|Minister for the Canadian Wheat Board|Jean-Luc Pépin|6 July 1968-15 October 1969|1968-07-06|1969-10-15|20|male
10|Minister of Foreign Affairs|Bill Graham|12 December 2003 – 19 July 2004: |2003-12-12|2004-07-19|27|male
19|Minister for the Canadian Wheat Board|Charles Drury|20 April 1968-6 July 1968|1968-04-20|1968-07-06|20|male
23|Minister of Communications|Jean-Pierre Côté (acting)|29 April 1971-11 May 1971|1971-04-29|1971-05-11|20|male
18|Minister for Canada Mortgage and Housing Corporation|André Ouellet|5 November 1976-4 June 1979|1976-11-05|1979-06-04|20|male
17|Minister for Canada Mortgage and Housing Corporation|Barney Danson|8 August 1974-5 November 1976|1974-08-08|1976-11-05|20|male
16|Minister for Canada Mortgage and Housing Corporation|Ron Basford|28 January 1972-8 August 1974|1972-01-28|1974-08-08|20|male
15|Minister for Canada Mortgage and Housing Corporation|Bob Andras|5 May 1969-28 January 1972|1969-05-05|1972-01-28|20|male
12|Minister of Health|Pierre Pettigrew|12 December 2003 – 19 July 2004: |2003-12-12|2004-07-19|27|male
14|Minister for Canada Mortgage and Housing Corporation|Paul Hellyer|20 April 1968-5 May 1969|1968-04-20|1969-05-05|20|male
13|Minister responsible for Canadian International Development Agency|Don Jamieson|14 September 1976-4 June 1979|1976-09-14|1979-06-04|20|male
12|Minister responsible for Canadian International Development Agency|Allan MacEachen|8 August 1974-14 September 1976|1974-08-08|1976-09-14|20|male
11|Minister of Foreign Affairs|Pierre Pettigrew|20 July 2004 – 6 February 2006: |2004-07-20|2006-02-06|27|male
11|Minister responsible for Canadian International Development Agency|Mitchell Sharp|20 April 1968-8 August 1974|1968-04-20|1974-08-08|20|male
24|Minister of Communications|Gérard Pelletier (acting)|11 May 1971-12 August 1971|1971-05-11|1971-08-12|20|male
6|Minister of the Environment|David Anderson|12 December 2003 – 19 July 2004: |2003-12-12|2004-07-19|27|male
44|Minister for Defence Construction Limited|Charles Drury (acting)|7 September 1972-27 November 1972|1972-09-07|1972-11-27|20|male
42|Minister for Defence Construction Limited|Edgar Benson|28 January 1972-1 September 1972|1972-01-28|1972-09-01|20|male
41|Minister for Defence Construction Limited|Donald Stovel Macdonald|24 September 1970-28 January 1972|1970-09-24|1972-01-28|20|male
40|Minister for Defence Construction Limited|Charles Drury (acting)|17 September 1970-24 September 1970|1970-09-17|1970-09-24|20|male
38|Minister of Consumer and Corporate Affairs and Registrar General|Warren Allmand|16 September 1977-4 June 1979|1977-09-16|1979-06-04|20|male
37|Minister of Consumer and Corporate Affairs and Registrar General|Anthony Abbott|14 September 1976-16 September 1977|1976-09-14|1977-09-16|20|male
34|Minister of Consumer and Corporate Affairs and Registrar General|André Ouellet|8 August 1974-16 March 1976|1974-08-08|1976-03-16|20|male
25|Minister of Communications|Robert Stanbury|12 August 1971-27 November 1972|1971-08-12|1972-11-27|20|male
4|Minister of Citizenship and Immigration|Joseph Volpe|14 January 2005 – 6 February 2006: |2005-01-14|2006-02-06|27|male
33|Minister of Consumer and Corporate Affairs and Registrar General|Herb Gray|27 November 1972-8 August 1974|1972-11-27|1974-08-08|20|male
32|Minister of Consumer and Corporate Affairs and Registrar General|Bob Andras|28 January 1972-27 November 1972|1972-01-28|1972-11-27|20|male
31|Minister of Consumer and Corporate Affairs and Registrar General|Ron Basford|6 July 1968-28 January 1972|1968-07-06|1972-01-28|20|male
30|Minister of Consumer and Corporate Affairs and Registrar General|John Turner|20 April 1968-6 July 1968|1968-04-20|1968-07-06|20|male
28|Minister of Communications|Otto Lang (acting)|25 October 1975-5 December 1975|1975-10-25|1975-12-05|20|male
27|Minister of Communications|Pierre Juneau|29 August 1975-25 October 1975|1975-08-29|1975-10-25|20|male
26|Minister of Communications|Gérard Pelletier|27 November 1972-29 August 1975|1972-11-27|1975-08-29|20|male
5|Minister of the Economic Development Agency of Canada for the Regions of Quebec|Jacques Saada|20 July 2004 – 6 February 2006: |2004-07-20|2006-02-06|27|male
